respondent_id,_true_persona_segment,_is_noisy_responder,_is_outlier,A1_age_group,A2_residency_status,A3_emirate,A4_occupation_status,A5_gender,B1_stress_frequency,B2_stress_severity_1to10,B4_coping_ability,C1_stigma_comfort_1to5,C2_stigma_judged,D1_interest_in_tool,D3_recommend_likelihood_1to5,E1_ai_comfort_1to5,E4_ai_rec_likelihood_1to5,E5_trust_preference,F1_would_use,F2_would_pay,F4_language_preference,B3_Academics / studies,B3_Career or work,B3_Cultural or religious expectations,B3_Family expectations,B3_Friendships or romantic relationships,B3_Future or financial uncertainty,B3_Other,B3_Social media or self-image,B5_Family,B5_Friends,B5_No one,B5_Online community,B5_Other,B5_Religious or community figure,B5_Teacher or mentor,B5_Therapist or counselor,C3_Cost,C3_Dont know where to go,C3_Family disapproval,C3_Fear of being judged,C3_Feel its not serious enough,C3_Lack of privacy,C3_Lack of time,C3_Nothing stops me,D2_24/7 chat-based support,D2_Academic or work-life coaching,D2_Access to licensed therapists,D2_Crisis support,D2_Mood tracking over time,D2_Peer community my age,D2_Personalized advice,D2_Quick stress relief techniques,E2_Accuracy or safety of advice,E2_Cant replace real therapy,E2_Conflicts with religious or cultural values,E2_Lack of real empathy,E2_No real concerns,E2_Privacy or data security,E3_Built with mental health professionals,E3_Endorsed by religious or community leaders,E3_Free or low-cost access,E3_Nothing would increase trust,E3_Option to escalate to human,E3_Positive reviews from peers,E3_Strong privacy guarantees,F3_In-person workshops,F3_Mobile app,F3_Social media-based content,F3_Website,F3_WhatsApp or chat-based
1,Low_Need_Indifferent,0,1,12-14,UAE National (Emirati),Dubai,In school (middle/high school),Male,Rarely,1,Not sure,3,Not at all,Probably not,2,2,1,AI + human (hybrid),No,Not sure,Both English and Arabic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Tech_Savvy_Trusting,0,0,25-27,UAE National (Emirati),Dubai,Both studying and working,Female,Sometimes,6,"No, not really",3,Not at all,Probably,4,4,4,AI on its own,"Yes, definitely",Only if free version available,Both English and Arabic,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0
3,Tech_Savvy_Trusting,0,0,18-20,Expatriate resident,Abu Dhabi,In school (middle/high school),Male,Often,7,Somewhat,3,Somewhat,Probably not,3,5,4,AI on its own,Maybe,Only if free version available,English,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
4,Distressed_Skeptic,0,0,21-24,International student (short-term),Dubai,Working professional,Male,Often,10,"No, not really",2,"Yes, a lot",Definitely not,2,3,2,AI + human (hybrid),No,No,English,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
5,Curious_Pragmatist,0,0,18-20,Expatriate resident,Dubai,In college or university,Female,Often,6,Not sure,3,"Yes, a lot",Definitely,4,3,4,AI + human (hybrid),"Yes, definitely",Only if free version available,Other,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
6,Tech_Savvy_Trusting,0,0,18-20,Expatriate resident,Dubai,In college or university,Female,Rarely,7,Somewhat,4,Not at all,Definitely,4,5,4,AI on its own,"Yes, definitely","Yes, willing to pay",Both English and Arabic,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0
7,Distressed_Skeptic,0,0,25-27,UAE National (Emirati),Abu Dhabi,Both studying and working,Female,Sometimes,8,"No, not really",2,Somewhat,Not sure,2,2,1,Human professional only,Maybe,No,Both English and Arabic,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0
8,Tech_Savvy_Trusting,0,0,15-17,Expatriate resident,Other,In school (middle/high school),Female,Almost always,6,Somewhat,3,Somewhat,Definitely,4,4,4,AI on its own,"Yes, definitely","Yes, willing to pay",English,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0
9,Tech_Savvy_Trusting,0,0,15-17,Expatriate resident,Abu Dhabi,In school (middle/high school),Male,Often,8,"Yes, definitely",2,Not at all,Probably,4,5,4,AI + human (hybrid),Maybe,Not sure,Both English and Arabic,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
10,Curious_Pragmatist,0,0,15-17,Expatriate resident,Sharjah,In school (middle/high school),Female,Often,6,"Yes, definitely",4,Not at all,Probably,4,3,4,AI + human (hybrid),"Yes, definitely",Only if free version available,Both English and Arabic,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0
